current;delta;status
0.045;0;0
0.045;2;0
0.045;4;0
0.045;6;0
0.045;8;0
0.145;10;0
0.046;12;0
0.06;14;0
0.062;16;0
0.062;18;0
0.062;20;0
0.061;22;0
0.061;24;0
0.062;26;0
0.061;28;0
0.061;30;0
0.061;32;0
0.061;34;0
0.061;36;0
0.062;38;0
0.062;40;0
0.062;42;0
0.061;44;0
0.062;46;0
0.061;48;0
0.061;50;0
0.061;52;0
0.062;54;0
0.062;56;0
0.061;58;0
0.055;60;0
0.045;62;0
0.061;64;0
0.061;66;0
0.062;68;0
0.062;70;0
0.062;72;0
0.062;74;0
0.062;76;0
0.062;78;0
0.062;80;0
0.062;82;0
0.062;84;0
0.062;86;0
0.062;88;0
0.061;90;0
0.062;92;0
0.05;94;0
0.045;96;0
0.045;98;0
0.045;100;0
0.045;102;0
0.045;104;0
0.045;106;0
1.408;108;0
3.633;110;0
3.287;112;0
3.214;114;0
3.019;116;0
3.002;118;0
3.178;120;0
2.686;122;0
1.011;124;0
0.045;126;0
0.045;128;0
0.045;130;0
0.045;132;0
0.045;134;0
0.045;136;0
0.045;138;0
0.045;140;0
0.045;142;0
0.045;144;0
0.045;146;0
0.045;148;0
0.045;150;0
2.041;152;0
8.791;154;0
8.788;156;0
8.767;158;0
8.76;160;0
8.748;162;0
8.745;164;0
8.734;166;0
9.343;168;0
9.572;170;0
8.743;172;0
8.735;174;0
8.732;176;0
8.728;178;0
8.738;180;0
8.725;182;0
8.728;184;0
8.722;186;0
8.726;188;0
8.72;190;0
8.702;192;0
8.715;194;0
8.709;196;0
8.716;198;0
8.726;200;0
8.717;202;0
8.717;204;0
8.713;206;0
8.713;208;0
8.715;210;0
8.724;212;0
8.713;214;0
8.711;216;0
8.721;218;0
8.711;220;0
8.715;222;0
8.71;224;0
8.717;226;0
8.722;228;0
8.72;230;0
8.717;232;0
8.708;234;0
8.716;236;0
8.719;238;0
8.71;240;0
8.714;242;0
8.715;244;0
8.722;246;0
8.716;248;0
8.718;250;0
8.703;252;0
8.708;254;0
8.709;256;0
8.714;258;0
8.719;260;0
8.709;262;0
8.7;264;0
8.707;266;0
8.716;268;0
8.715;270;0
8.716;272;0
8.72;274;0
8.726;276;0
8.718;278;0
8.722;280;0
8.719;282;0
8.71;284;0
8.716;286;0
8.711;288;0
8.71;290;0
8.717;292;0
8.717;294;0
8.706;296;0
8.714;298;0
8.719;300;0
8.719;302;0
8.717;304;0
8.72;306;0
8.71;308;0
8.716;310;0
8.704;312;0
8.71;314;0
8.708;316;0
8.716;318;0
8.717;320;0
9.966;322;0
8.892;324;0
8.724;326;0
8.717;328;0
8.709;330;0
8.717;332;0
8.732;334;0
8.714;336;0
8.712;338;0
8.709;340;0
8.713;342;0
8.727;344;0
8.712;346;0
8.715;348;0
8.707;350;0
8.699;352;0
8.716;354;0
8.709;356;0
8.708;358;0
8.712;360;0
8.713;362;0
8.713;364;0
8.7;366;0
8.705;368;0
8.706;370;0
8.703;372;0
8.702;374;0
8.7;376;0
8.703;378;0
8.708;380;0
8.718;382;0
8.701;384;0
8.713;386;0
8.698;388;0
8.711;390;0
8.7;392;0
8.717;394;0
8.713;396;0
8.708;398;0
8.711;400;0
8.708;402;0
8.709;404;0
8.697;406;0
8.702;408;0
8.704;410;0
8.705;412;0
8.714;414;0
8.698;416;0
8.702;418;0
8.711;420;0
8.703;422;0
8.698;424;0
8.697;426;0
8.699;428;0
8.697;430;0
8.709;432;0
8.7;434;0
8.705;436;0
8.695;438;0
8.701;440;0
8.702;442;0
8.697;444;0
8.697;446;0
8.7;448;0
8.709;450;0
8.7;452;0
8.697;454;0
8.699;456;0
8.712;458;0
8.704;460;0
8.701;462;0
8.706;464;0
6.177;466;0
0.045;468;0
0.045;470;0
0.045;472;0
1.483;474;0
3.201;476;0
0.657;478;0
0.045;480;0
0.045;482;0
0.045;484;0
0.045;486;0
0.045;488;0
0.045;490;0
0.045;492;0
0.045;494;0
0.045;496;0
0.045;498;0
0.045;500;0
0.045;502;0
0.045;504;0
0.045;506;0
0.045;508;0
0.045;510;0
0.045;512;0
0.045;514;0
0.045;516;0
0.045;518;0
0.045;520;0
0.045;522;0
0.045;524;0
0.045;526;0
0.045;528;0
0.045;530;0
0.045;532;0
0.045;534;0
0.045;536;0
0.045;538;0
0.045;540;0
0.045;542;0
0.045;544;0
0.045;546;0
0.045;548;0
0.045;550;0
0.045;552;0
0.045;554;0
0.045;556;0
0.045;558;0
0.045;560;0
0.045;562;0
0.045;564;0
0.045;566;0
0.045;568;0
0.045;570;0
0.045;572;0
0.045;574;0
0.045;576;0
0.045;578;0
0.045;580;0
0.045;582;0
0.045;584;0
0.045;586;0
0.045;588;0
0.045;590;0
0.045;592;0
0.045;594;0
0.045;596;0
0.045;598;0
0.045;600;0
0.045;602;0
0.045;604;0
0.045;606;0
0.045;608;0
0.045;610;0
0.045;612;0
0.045;614;0
0.045;616;0
0.045;618;0
0.045;620;0
0.045;622;0
0.045;624;0
0.071;626;0
3.328;628;0
1.156;630;0
0.045;632;0
0.045;634;0
0.045;636;0
0.045;638;0
0.045;640;0
0.045;642;0
0.045;644;0
0.045;646;0
0.045;648;0
0.045;650;0
0.045;652;0
0.045;654;0
0.045;656;0
0.045;658;0
0.045;660;0
0.045;662;0
0.045;664;0
0.045;666;0
0.045;668;0
0.045;670;0
0.045;672;0
0.045;674;0
0.045;676;0
0.045;678;0
0.045;680;0
0.045;682;0
0.045;684;0
0.045;686;0
0.045;688;0
0.045;690;0
0.045;692;0
0.045;694;0
0.045;696;0
0.045;698;0
0.045;700;0
0.045;702;0
0.045;704;0
0.045;706;0
0.045;708;0
0.045;710;0
0.045;712;0
0.045;714;0
0.045;716;0
0.045;718;0
0.045;720;0
0.045;722;0
0.045;724;0
0.045;726;0
0.045;728;0
0.046;730;0
0.045;732;0
0.045;734;0
0.045;736;0
0.045;738;0
0.045;740;0
0.045;742;0
0.045;744;0
0.045;746;0
0.045;748;0
0.045;750;0
0.045;752;0
0.045;754;0
0.045;756;0
0.045;758;0
0.045;760;0
0.045;762;0
0.045;764;0
0.045;766;0
0.045;768;0
0.045;770;0
0.045;772;0
0.045;774;0
0.045;776;0
0.045;778;0
0.045;780;0
0.045;782;0
0.045;784;0
0.045;786;0
0.045;788;0
0.045;790;0
0.045;792;0
0.045;794;0
0.045;796;0
0.045;798;0
0.045;800;0
0.045;802;0
0.045;804;0
0.045;806;0
0.046;808;0
0.046;810;0
0.045;812;0
0.046;814;0
0.046;816;0
0.045;818;0
0.045;820;0
0.045;822;0
0.046;824;0
0.046;826;0
0.046;828;0
0.046;830;0
0.046;832;0
0.045;834;0
0.046;836;0
0.046;838;0
0.045;840;0
0.046;842;0
0.046;844;0
0.046;846;0
0.046;848;0
0.046;850;0
0.045;852;0
0.045;854;0
0.046;856;0
0.046;858;0
0.046;860;0
0.046;862;0
0.046;864;0
0.045;866;0
0.046;868;0
0.045;870;0
0.045;872;0
0.045;874;0
0.046;876;0
0.046;878;0
0.046;880;0
0.045;882;0
0.046;884;0
0.045;886;0
0.046;888;0
0.046;890;0
0.046;892;0
0.046;894;0
0.045;896;0
0.045;898;0
0.046;900;0
0.045;902;0
0.046;904;0
0.046;906;0
0.046;908;0
0.046;910;0
0.046;912;0
0.046;914;0
0.046;916;0
0.046;918;0
0.046;920;0
0.045;922;0
0.046;924;0
0.045;926;0
0.045;928;0
0.045;930;0
0.045;932;0
0.045;934;0
0.045;936;0
0.046;938;0
0.045;940;0
0.045;942;0
0.046;944;0
0.045;946;0
0.045;948;0
0.045;950;0
0.046;952;0
0.046;954;0
0.046;956;0
0.045;958;0
0.046;960;0
0.046;962;0
0.046;964;0
0.045;966;0
0.045;968;0
0.045;970;0
0.046;972;0
0.045;974;0
0.046;976;0
0.045;978;0
0.045;980;0
0.046;982;0
0.046;984;0
0.045;986;0
0.045;988;0
0.046;990;0
0.046;992;0
0.046;994;0
0.045;996;0
0.046;998;0
0.046;1000;0
0.045;1002;0
0.046;1004;0
0.046;1006;0
0.046;1008;0
0.045;1010;0
0.045;1012;0
0.046;1014;0
0.046;1016;0
0.046;1018;0
0.046;1020;0
