current;delta;status
0.035;0;0
0.034;2;0
0.035;4;0
0.035;6;0
0.035;8;0
0.035;10;0
0.035;12;0
0.05;14;0
0.045;16;0
0.045;18;0
0.045;20;0
0.045;22;0
0.045;24;0
0.045;26;0
0.045;28;0
0.045;30;0
0.045;32;0
0.045;34;0
0.045;36;0
0.045;38;0
0.045;40;0
0.045;42;0
0.045;44;0
0.147;46;0
0.046;48;0
1.862;50;0
1.497;52;0
1.475;54;0
1.467;56;0
1.44;58;0
1.409;60;0
1.406;62;0
1.419;64;0
1.437;66;0
1.426;68;0
1.402;70;0
1.394;72;0
1.453;74;0
1.482;76;0
1.502;78;0
1.496;80;0
1.507;82;0
1.541;84;0
1.57;86;0
1.587;88;0
1.586;90;0
1.604;92;0
1.631;94;0
1.661;96;0
1.668;98;0
1.639;100;0
1.645;102;0
1.625;104;0
1.665;106;0
1.712;108;0
1.729;110;0
1.725;112;0
1.773;114;0
1.803;116;0
1.858;118;0
1.906;120;0
1.892;122;0
1.967;124;0
1.995;126;0
2.04;128;0
2.1;130;0
2.067;132;0
8.429;134;0
9.582;136;0
9.281;138;0
9.262;140;0
9.253;142;0
9.26;144;0
9.168;146;0
8.729;148;0
8.714;150;0
8.693;152;0
8.711;154;0
8.708;156;0
8.701;158;0
9.315;160;0
9.285;162;0
9.333;164;0
9.326;166;0
9.305;168;0
9.341;170;0
8.785;172;0
8.711;174;0
8.7;176;0
8.683;178;0
8.683;180;0
8.675;182;0
9.189;184;0
9.371;186;0
9.244;188;0
9.291;190;0
9.234;192;0
9.267;194;0
8.91;196;0
8.705;198;0
8.697;200;0
8.696;202;0
8.7;204;0
8.691;206;0
9.342;208;0
9.337;210;0
9.373;212;0
9.379;214;0
9.42;216;0
9.394;218;0
8.789;220;0
8.739;222;0
8.726;224;0
8.686;226;0
8.686;228;0
8.685;230;0
9.374;232;0
9.465;234;0
9.288;236;0
9.387;238;0
9.339;240;0
9.299;242;0
8.894;244;0
8.705;246;0
8.715;248;0
8.766;250;0
9.758;252;0
9.334;254;0
9.312;256;0
9.291;258;0
9.33;260;0
9.123;262;0
8.71;264;0
8.7;266;0
8.704;268;0
8.704;270;0
9.023;272;0
9.653;274;0
9.361;276;0
9.387;278;0
9.393;280;0
9.014;282;0
8.701;284;0
8.711;286;0
8.699;288;0
9.284;290;0
9.346;292;0
9.284;294;0
9.313;296;0
9.284;298;0
9.31;300;0
8.817;302;0
8.705;304;0
8.704;306;0
8.694;308;0
8.703;310;0
9.735;312;0
9.39;314;0
9.288;316;0
9.337;318;0
9.347;320;0
8.725;322;0
8.7;324;0
8.704;326;0
8.799;328;0
9.708;330;0
9.357;332;0
9.263;334;0
9.274;336;0
9.347;338;0
9.11;340;0
8.715;342;0
8.7;344;0
8.713;346;0
8.701;348;0
9.079;350;0
9.679;352;0
9.387;354;0
9.422;356;0
9.43;358;0
9.036;360;0
8.736;362;0
8.739;364;0
8.69;366;0
9.462;368;0
9.537;370;0
9.432;372;0
9.44;374;0
9.46;376;0
9.482;378;0
8.896;380;0
8.699;382;0
8.697;384;0
8.697;386;0
8.704;388;0
9.706;390;0
9.62;392;0
9.386;394;0
9.483;396;0
9.376;398;0
8.734;400;0
8.701;402;0
8.706;404;0
9.331;406;0
9.632;408;0
9.445;410;0
9.483;412;0
9.495;414;0
9.484;416;0
8.921;418;0
8.707;420;0
8.699;422;0
8.705;424;0
8.691;426;0
9.731;428;0
9.511;430;0
9.468;432;0
9.586;434;0
9.429;436;0
8.746;438;0
8.686;440;0
8.68;442;0
8.702;444;0
9.896;446;0
9.568;448;0
9.534;450;0
9.506;452;0
9.523;454;0
9.407;456;0
8.708;458;0
8.687;460;0
8.692;462;0
8.684;464;0
8.899;466;0
10.005;468;0
9.55;470;0
9.517;472;0
9.614;474;0
9.195;476;0
8.728;478;0
8.71;480;0
8.692;482;0
9.224;484;0
9.954;486;0
9.616;488;0
9.631;490;0
9.668;492;0
9.684;494;0
9.049;496;0
8.702;498;0
8.684;500;0
8.694;502;0
8.691;504;0
9.632;506;0
9.862;508;0
9.706;510;0
9.669;512;0
9.671;514;0
8.866;516;0
8.691;518;0
8.699;520;0
8.699;522;0
10.006;524;0
9.739;526;0
9.639;528;0
9.643;530;0
9.63;532;0
9.578;534;0
8.71;536;0
8.7;538;0
8.702;540;0
8.695;542;0
8.779;544;0
10.21;546;0
9.651;548;0
9.62;550;0
9.628;552;0
9.451;554;0
8.748;556;0
8.731;558;0
8.701;560;0
9.084;562;0
10.275;564;0
9.63;566;0
9.66;568;0
9.654;570;0
9.647;572;0
9.162;574;0
8.712;576;0
8.71;578;0
8.695;580;0
8.687;582;0
9.75;584;0
9.828;586;0
9.701;588;0
9.737;590;0
9.721;592;0
8.879;594;0
8.714;596;0
8.699;598;0
8.694;600;0
10.002;602;0
9.834;604;0
9.697;606;0
9.689;608;0
9.701;610;0
9.181;612;0
8.686;614;0
8.704;616;0
8.682;618;0
8.68;620;0
9.662;622;0
9.905;624;0
9.78;626;0
9.813;628;0
9.744;630;0
8.938;632;0
3.907;634;0
0.062;636;0
0.05;638;0
3.833;640;0
3.405;642;0
3.183;644;0
3.197;646;0
3.236;648;0
3.105;650;0
0.542;652;0
0.045;654;0
0.045;656;0
0.046;658;0
0.668;660;0
4.363;662;0
3.33;664;0
3.38;666;0
3.402;668;0
2.92;670;0
0.11;672;0
0.045;674;0
0.046;676;0
1.734;678;0
4.397;680;0
3.227;682;0
3.273;684;0
3.313;686;0
3.241;688;0
2.32;690;0
0.045;692;0
0.045;694;0
0.045;696;0
0.045;698;0
3.029;700;0
3.962;702;0
3.323;704;0
3.357;706;0
3.352;708;0
2.018;710;0
0.045;712;0
0.045;714;0
7.93;716;0
10.212;718;0
10.03;720;0
9.914;722;0
9.829;724;0
9.882;726;0
9.905;728;0
8.789;730;0
8.715;732;0
8.728;734;0
8.717;736;0
8.73;738;0
10.411;740;0
9.966;742;0
9.974;744;0
9.96;746;0
9.868;748;0
8.762;750;0
8.754;752;0
8.711;754;0
8.893;756;0
10.671;758;0
10.002;760;0
10.002;762;0
9.966;764;0
9.952;766;0
9.439;768;0
8.729;770;0
8.712;772;0
8.718;774;0
8.697;776;0
9.41;778;0
10.531;780;0
9.977;782;0
10.01;784;0
9.93;786;0
9.156;788;0
8.701;790;0
8.713;792;0
8.695;794;0
9.981;796;0
10.113;798;0
9.866;800;0
9.931;802;0
9.978;804;0
9.962;806;0
8.889;808;0
8.701;810;0
8.7;812;0
8.7;814;0
9.17;816;0
10.733;818;0
10.06;820;0
10.065;822;0
10.125;824;0
9.277;826;0
8.711;828;0
8.702;830;0
8.704;832;0
5.655;834;0
4.058;836;0
3.582;838;0
3.623;840;0
3.665;842;0
3.777;844;0
3.921;846;0
3.775;848;0
1.844;850;0
0.045;852;0
0.045;854;0
0.046;856;0
1.985;858;0
4.809;860;0
3.855;862;0
3.73;864;0
3.751;866;0
3.7;868;0
3.74;870;0
0.481;872;0
0.045;874;0
0.045;876;0
3.351;878;0
4.33;880;0
3.787;882;0
3.865;884;0
3.903;886;0
3.859;888;0
4.001;890;0
4.028;892;0
1.651;894;0
0.045;896;0
0.045;898;0
0.045;900;0
2.176;902;0
4.831;904;0
3.901;906;0
4.006;908;0
4.048;910;0
3.963;912;0
3.815;914;0
0.391;916;0
0.045;918;0
0.045;920;0
3.699;922;0
4.317;924;0
3.901;926;0
3.771;928;0
3.918;930;0
3.944;932;0
3.831;934;0
4.084;936;0
1.553;938;0
0.045;940;0
0.045;942;0
0.045;944;0
2.322;946;0
4.815;948;0
3.991;950;0
4.077;952;0
4.146;954;0
4.097;956;0
3.543;958;0
0.354;960;0
0.045;962;0
0.045;964;0
3.725;966;0
4.139;968;0
3.786;970;0
3.882;972;0
3.985;974;0
3.926;976;0
3.915;978;0
1.463;980;0
0.045;982;0
0.045;984;0
0.045;986;0
1.941;988;0
4.837;990;0
4.094;992;0
4.047;994;0
4.028;996;0
3.994;998;0
3.707;1000;0
0.265;1002;0
0.045;1004;0
0.045;1006;0
3.919;1008;0
4.525;1010;0
3.945;1012;0
3.853;1014;0
3.852;1016;0
3.866;1018;0
3.834;1020;0
4.028;1022;0
1.343;1024;0
0.045;1026;0
0.045;1028;0
0.045;1030;0
2.49;1032;0
4.931;1034;0
4.045;1036;0
4.057;1038;0
4.067;1040;0
4.023;1042;0
4.026;1044;0
0.329;1046;0
0.046;1048;0
0.045;1050;0
3.995;1052;0
4.403;1054;0
3.851;1056;0
3.967;1058;0
4.005;1060;0
4.14;1062;0
4.247;1064;0
4.075;1066;0
1.195;1068;0
0.045;1070;0
0.045;1072;0
0.045;1074;0
2.71;1076;0
4.83;1078;0
4.141;1080;0
4.186;1082;0
3.889;1084;0
3.893;1086;0
3.748;1088;0
0.297;1090;0
0.045;1092;0
0.045;1094;0
4.007;1096;0
4.039;1098;0
4.089;1100;0
3.986;1102;0
3.851;1104;0
3.96;1106;0
3.988;1108;0
4.133;1110;0
0.998;1112;0
0.045;1114;0
0.046;1116;0
0.045;1118;0
2.677;1120;0
4.937;1122;0
3.956;1124;0
0.534;1126;0
0.194;1128;0
0.194;1130;0
0.194;1132;0
0.193;1134;0
1.704;1136;0
5.152;1138;0
4.123;1140;0
2.728;1142;0
1.729;1144;0
1.875;1146;0
1.866;1148;0
0.578;1150;0
0.193;1152;0
3.612;1154;0
4.019;1156;0
3.241;1158;0
1.905;1160;0
1.55;1162;0
1.555;1164;0
1.463;1166;0
1.424;1168;0
1.459;1170;0
1.425;1172;0
1.398;1174;0
0.36;1176;0
0.183;1178;0
4.021;1180;0
3.333;1182;0
2.503;1184;0
1.937;1186;0
1.885;1188;0
2.024;1190;0
0.738;1192;0
1.101;1194;0
