current;delta;status
1.506;0;0
1.5;2;0
1.605;4;0
1.637;6;0
1.652;8;0
1.636;10;0
1.622;12;0
1.634;14;0
1.676;16;0
1.766;18;0
1.917;20;0
1.869;22;0
1.95;24;0
1.948;26;0
1.935;28;0
1.938;30;0
1.959;32;0
2.035;34;0
2.042;36;0
2.04;38;0
2.054;40;0
2.051;42;0
1.989;44;0
2.016;46;0
2.032;48;0
2.065;50;0
2.14;52;0
2.224;54;0
2.285;56;0
2.317;58;0
2.27;60;0
2.333;62;0
2.411;64;0
2.59;66;0
2.541;68;0
2.503;70;0
2.52;72;0
2.648;74;0
2.823;76;0
2.076;78;0
0.053;80;0
0.046;82;0
0.046;84;0
0.046;86;0
0.046;88;0
0.045;90;0
0.046;92;0
0.046;94;0
0.045;96;0
1.91;98;0
2.677;100;0
2.526;102;0
2.594;104;0
2.46;106;0
2.34;108;0
2.676;110;0
2.588;112;0
2.508;114;0
2.632;116;0
2.719;118;0
2.55;120;0
2.597;122;0
2.944;124;0
2.77;126;0
2.827;128;0
3.079;130;0
2.972;132;0
2.853;134;0
3.185;136;0
2.96;138;0
3.205;140;0
3.294;142;0
3.056;144;0
2.692;146;0
0.063;148;0
0.045;150;0
0.046;152;0
0.046;154;0
0.046;156;0
0.046;158;0
0.046;160;0
0.045;162;0
0.045;164;0
1.676;166;0
3.922;168;0
3.46;170;0
3.378;172;0
3.547;174;0
3.291;176;0
3.437;178;0
3.47;180;0
3.508;182;0
3.409;184;0
3.608;186;0
3.485;188;0
3.577;190;0
3.631;192;0
3.847;194;0
3.716;196;0
4.044;198;0
4.009;200;0
3.82;202;0
3.881;204;0
4.197;206;0
3.895;208;0
4.054;210;0
4.026;212;0
7.586;214;0
9.711;216;0
10.716;218;0
10.187;220;0
10.215;222;0
10.118;224;0
10.128;226;0
9.248;228;0
8.805;230;0
8.79;232;0
8.794;234;0
8.797;236;0
8.786;238;0
9.093;240;0
10.937;242;0
10.533;244;0
10.588;246;0
10.632;248;0
10.497;250;0
9.744;252;0
8.801;254;0
8.805;256;0
8.801;258;0
8.801;260;0
8.785;262;0
8.86;264;0
10.979;266;0
10.278;268;0
10.349;270;0
10.169;272;0
10.188;274;0
9.915;276;0
8.804;278;0
8.798;280;0
8.801;282;0
8.787;284;0
8.784;286;0
8.778;288;0
10.413;290;0
10.621;292;0
10.58;294;0
10.581;296;0
10.6;298;0
10.401;300;0
8.83;302;0
8.807;304;0
8.789;306;0
8.797;308;0
8.795;310;0
8.785;312;0
10.511;314;0
10.391;316;0
10.284;318;0
10.191;320;0
10.221;322;0
10.151;324;0
8.917;326;0
8.808;328;0
8.8;330;0
9.429;332;0
10.899;334;0
10.163;336;0
10.235;338;0
10.158;340;0
10.199;342;0
9.314;344;0
8.798;346;0
8.791;348;0
8.798;350;0
8.924;352;0
11.036;354;0
10.215;356;0
10.27;358;0
10.21;360;0
9.761;362;0
8.79;364;0
8.79;366;0
8.789;368;0
9.428;370;0
10.9;372;0
10.177;374;0
10.149;376;0
10.156;378;0
10.183;380;0
9.343;382;0
8.802;384;0
8.795;386;0
8.787;388;0
8.788;390;0
10.25;392;0
10.485;394;0
10.219;396;0
10.167;398;0
10.204;400;0
8.964;402;0
8.794;404;0
8.794;406;0
8.798;408;0
10.711;410;0
10.257;412;0
10.152;414;0
10.1;416;0
10.135;418;0
10.086;420;0
8.833;422;0
8.809;424;0
8.814;426;0
8.804;428;0
8.954;430;0
10.937;432;0
10.283;434;0
10.214;436;0
10.226;438;0
9.712;440;0
