current;delta;status
10.391;0;0
9.827;2;0
8.8;4;0
8.815;6;0
8.787;8;0
8.777;10;0
8.792;12;0
8.871;14;0
10.906;16;0
10.134;18;0
10.126;20;0
10.057;22;0
10.144;24;0
9.711;26;0
8.793;28;0
8.795;30;0
8.786;32;0
8.803;34;0
8.8;36;0
8.79;38;0
10.367;40;0
10.455;42;0
10.431;44;0
10.384;46;0
10.434;48;0
10.223;50;0
8.808;52;0
8.775;54;0
8.814;56;0
8.796;58;0
8.804;60;0
8.795;62;0
10.416;64;0
10.323;66;0
10.185;68;0
10.099;70;0
10.147;72;0
10.163;74;0
8.87;76;0
8.799;78;0
8.781;80;0
9.246;82;0
10.766;84;0
10.264;86;0
10.192;88;0
10.259;90;0
10.238;92;0
9.405;94;0
8.785;96;0
8.805;98;0
8.814;100;0
8.788;102;0
10.138;104;0
10.477;106;0
10.241;108;0
10.25;110;0
10.259;112;0
9.075;114;0
8.851;116;0
8.814;118;0
8.812;120;0
10.954;122;0
10.33;124;0
10.241;126;0
10.255;128;0
10.204;130;0
9.808;132;0
8.824;134;0
8.827;136;0
8.803;138;0
8.805;140;0
9.243;142;0
10.897;144;0
10.266;146;0
10.212;148;0
10.184;150;0
9.517;152;0
8.841;154;0
8.833;156;0
8.811;158;0
9.966;160;0
10.519;162;0
10.146;164;0
10.206;166;0
10.222;168;0
10.219;170;0
9.115;172;0
8.808;174;0
8.834;176;0
8.802;178;0
8.819;180;0
10.742;182;0
10.419;184;0
10.297;186;0
10.209;188;0
10.233;190;0
8.89;192;0
8.82;194;0
8.816;196;0
8.914;198;0
11.012;200;0
10.312;202;0
10.24;204;0
10.294;206;0
10.189;208;0
9.106;210;0
8.821;212;0
8.831;214;0
8.819;216;0
8.811;218;0
10.764;220;0
10.531;222;0
10.324;224;0
10.435;226;0
10.188;228;0
8.865;230;0
8.82;232;0
8.806;234;0
8.877;236;0
11.02;238;0
10.354;240;0
10.278;242;0
10.258;244;0
10.242;246;0
9.85;248;0
8.81;250;0
8.808;252;0
8.805;254;0
8.809;256;0
9.373;258;0
11.032;260;0
10.373;262;0
10.257;264;0
10.394;266;0
9.542;268;0
8.827;270;0
8.827;272;0
8.809;274;0
9.862;276;0
10.719;278;0
10.283;280;0
10.269;282;0
10.304;284;0
10.259;286;0
9.178;288;0
8.817;290;0
8.833;292;0
8.816;294;0
8.826;296;0
10.645;298;0
10.407;300;0
10.317;302;0
10.408;304;0
10.259;306;0
8.885;308;0
8.817;310;0
8.816;312;0
8.88;314;0
10.996;316;0
10.18;318;0
10.207;320;0
10.275;322;0
10.295;324;0
9.897;326;0
8.834;328;0
8.819;330;0
8.834;332;0
8.816;334;0
9.136;336;0
11.055;338;0
10.255;340;0
10.273;342;0
10.24;344;0
9.671;346;0
8.837;348;0
8.822;350;0
8.807;352;0
9.647;354;0
10.712;356;0
10.205;358;0
10.159;360;0
10.228;362;0
10.259;364;0
9.317;366;0
8.816;368;0
8.803;370;0
8.803;372;0
8.788;374;0
10.573;376;0
10.394;378;0
10.255;380;0
10.332;382;0
10.403;384;0
8.909;386;0
8.806;388;0
8.801;390;0
8.81;392;0
10.853;394;0
10.36;396;0
10.21;398;0
10.18;400;0
10.216;402;0
10.001;404;0
8.806;406;0
8.791;408;0
8.801;410;0
8.785;412;0
10.314;414;0
10.471;416;0
10.319;418;0
10.325;420;0
10.367;422;0
9.006;424;0
8.803;426;0
8.793;428;0
8.789;430;0
10.724;432;0
10.352;434;0
10.175;436;0
10.202;438;0
10.086;440;0
10.056;442;0
8.794;444;0
8.752;446;0
8.766;448;0
8.74;450;0
8.888;452;0
10.961;454;0
10.381;456;0
10.315;458;0
10.242;460;0
9.84;462;0
8.77;464;0
8.765;466;0
8.745;468;0
9.225;470;0
10.871;472;0
10.188;474;0
10.169;476;0
10.153;478;0
10.217;480;0
9.405;482;0
8.768;484;0
8.758;486;0
8.772;488;0
8.774;490;0
10.004;492;0
10.681;494;0
10.321;496;0
10.297;498;0
10.317;500;0
9.11;502;0
8.774;504;0
8.759;506;0
8.761;508;0
10.492;510;0
10.373;512;0
10.209;514;0
10.213;516;0
10.249;518;0
10.136;520;0
8.824;522;0
8.787;524;0
8.779;526;0
8.776;528;0
8.87;530;0
11.082;532;0
10.278;534;0
10.319;536;0
10.226;538;0
9.867;540;0
8.77;542;0
8.767;544;0
8.779;546;0
9.104;548;0
10.933;550;0
10.16;552;0
10.221;554;0
10.207;556;0
10.178;558;0
9.497;560;0
8.757;562;0
8.757;564;0
8.762;566;0
8.753;568;0
10.002;570;0
10.701;572;0
10.282;574;0
10.306;576;0
10.309;578;0
9.155;580;0
8.777;582;0
8.782;584;0
8.779;586;0
10.376;588;0
10.431;590;0
10.281;592;0
10.269;594;0
10.117;596;0
10.21;598;0
8.846;600;0
8.755;602;0
8.77;604;0
8.771;606;0
9.734;608;0
10.924;610;0
10.262;612;0
