current;delta;status
0.035;0;0
0.034;2;0
0.035;4;0
0.035;6;0
0.034;8;0
0.035;10;0
0.035;12;0
0.035;14;0
0.035;16;0
0.035;18;0
0.034;20;0
0.035;22;0
0.035;24;0
0.035;26;0
0.034;28;0
0.034;30;0
0.034;32;0
0.035;34;0
0.035;36;0
0.034;38;0
0.035;40;0
0.034;42;0
0.034;44;0
0.034;46;0
0.034;48;0
0.035;50;0
0.034;52;0
0.035;54;0
0.035;56;0
0.035;58;0
0.035;60;0
0.035;62;0
0.035;64;0
0.034;66;0
0.063;68;0
0.045;70;0
0.045;72;0
0.045;74;0
0.045;76;0
0.044;78;0
0.045;80;0
0.045;82;0
0.045;84;0
0.045;86;0
0.145;88;0
0.046;90;0
2.167;92;0
2.094;94;0
1.884;96;0
1.855;98;0
1.986;100;0
1.85;102;0
1.805;104;0
1.809;106;0
1.775;108;0
1.832;110;0
1.835;112;0
1.804;114;0
1.808;116;0
1.856;118;0
1.871;120;0
1.888;122;0
1.922;124;0
1.904;126;0
1.841;128;0
1.889;130;0
1.969;132;0
1.939;134;0
2.058;136;0
2.054;138;0
2.019;140;0
1.995;142;0
1.974;144;0
1.972;146;0
1.949;148;0
2.028;150;0
2.121;152;0
2.075;154;0
2.179;156;0
2.229;158;0
2.299;160;0
2.255;162;0
2.237;164;0
2.36;166;0
2.511;168;0
2.427;170;0
2.398;172;0
2.626;174;0
2.541;176;0
2.528;178;0
2.249;180;0
0.06;182;0
0.045;184;0
0.045;186;0
0.045;188;0
0.045;190;0
0.045;192;0
0.045;194;0
0.045;196;0
0.045;198;0
2.173;200;0
3.003;202;0
2.655;204;0
2.615;206;0
2.57;208;0
2.779;210;0
2.66;212;0
2.622;214;0
2.673;216;0
2.738;218;0
2.692;220;0
2.813;222;0
2.855;224;0
2.871;226;0
2.973;228;0
3.018;230;0
3.002;232;0
3.072;234;0
3.011;236;0
3.106;238;0
3.107;240;0
3.163;242;0
3.306;244;0
3.246;246;0
1.716;248;0
0.045;250;0
0.045;252;0
0.045;254;0
0.045;256;0
0.045;258;0
0.045;260;0
0.045;262;0
0.045;264;0
0.045;266;0
3.71;268;0
3.45;270;0
3.297;272;0
3.329;274;0
3.313;276;0
3.377;278;0
3.386;280;0
3.364;282;0
3.476;284;0
3.601;286;0
3.618;288;0
3.73;290;0
3.758;292;0
3.87;294;0
3.713;296;0
3.822;298;0
3.931;300;0
3.974;302;0
4.164;304;0
4.009;306;0
4.148;308;0
4.149;310;0
4.133;312;0
4.137;314;0
4.449;316;0
8.867;318;0
10.944;320;0
10.27;322;0
10.279;324;0
10.267;326;0
10.271;328;0
9.823;330;0
8.695;332;0
8.681;334;0
8.683;336;0
8.681;338;0
8.674;340;0
8.682;342;0
10.523;344;0
10.711;346;0
10.602;348;0
10.625;350;0
10.629;352;0
10.523;354;0
8.714;356;0
8.681;358;0
8.676;360;0
8.679;362;0
8.67;364;0
8.669;366;0
10.464;368;0
10.534;370;0
10.349;372;0
10.317;374;0
10.284;376;0
10.266;378;0
8.806;380;0
8.673;382;0
8.669;384;0
8.681;386;0
8.673;388;0
8.657;390;0
9.44;392;0
10.929;394;0
10.707;396;0
10.716;398;0
10.62;400;0
10.591;402;0
9.256;404;0
8.671;406;0
8.67;408;0
8.665;410;0
8.673;412;0
8.676;414;0
10.432;416;0
10.54;418;0
10.333;420;0
10.237;422;0
10.327;424;0
10.36;426;0
8.742;428;0
8.675;430;0
8.656;432;0
8.964;434;0
11.084;436;0
10.346;438;0
10.296;440;0
10.271;442;0
10.243;444;0
9.486;446;0
8.67;448;0
8.667;450;0
8.679;452;0
8.665;454;0
9.768;456;0
10.855;458;0
10.312;460;0
10.313;462;0
10.288;464;0
9.169;466;0
8.672;468;0
8.658;470;0
8.665;472;0
10.489;474;0
10.368;476;0
10.297;478;0
10.299;480;0
10.25;482;0
10.186;484;0
8.756;486;0
8.668;488;0
8.667;490;0
8.669;492;0
8.714;494;0
10.921;496;0
10.346;498;0
10.369;500;0
10.388;502;0
10.093;504;0
8.663;506;0
8.653;508;0
8.659;510;0
8.875;512;0
11.002;514;0
10.275;516;0
10.236;518;0
10.26;520;0
10.229;522;0
9.661;524;0
8.668;526;0
8.676;528;0
8.659;530;0
8.658;532;0
9.455;534;0
10.978;536;0
10.294;538;0
10.357;540;0
10.303;542;0
9.096;544;0
8.671;546;0
8.657;548;0
8.656;550;0
10.344;552;0
10.394;554;0
10.247;556;0
10.204;558;0
10.284;560;0
10.151;562;0
8.735;564;0
8.669;566;0
8.668;568;0
8.672;570;0
8.713;572;0
10.921;574;0
10.34;576;0
10.275;578;0
10.331;580;0
9.991;582;0
8.671;584;0
8.66;586;0
8.669;588;0
8.865;590;0
10.938;592;0
10.3;594;0
10.228;596;0
10.23;598;0
10.25;600;0
9.609;602;0
8.672;604;0
8.671;606;0
8.66;608;0
8.688;610;0
10.751;612;0
10.458;614;0
10.315;616;0
10.281;618;0
10.055;620;0
8.683;622;0
8.669;624;0
8.675;626;0
8.796;628;0
11.013;630;0
10.169;632;0
10.238;634;0
10.225;636;0
10.234;638;0
9.704;640;0
8.663;642;0
8.669;644;0
8.663;646;0
8.667;648;0
9.336;650;0
10.993;652;0
10.3;654;0
10.228;656;0
10.344;658;0
9.258;660;0
8.67;662;0
8.665;664;0
8.669;666;0
10.086;668;0
10.5;670;0
10.25;672;0
10.265;674;0
10.258;676;0
10.251;678;0
8.956;680;0
8.674;682;0
8.674;684;0
8.656;686;0
8.655;688;0
10.682;690;0
10.441;692;0
10.384;694;0
10.355;696;0
10.239;698;0
8.69;700;0
8.667;702;0
8.671;704;0
8.743;706;0
10.969;708;0
10.201;710;0
10.247;712;0
10.283;714;0
10.227;716;0
9.74;718;0
8.679;720;0
8.683;722;0
8.669;724;0
8.65;726;0
9.209;728;0
11.013;730;0
10.27;732;0
10.244;734;0
10.208;736;0
9.399;738;0
8.659;740;0
8.661;742;0
8.656;744;0
9.698;746;0
10.667;748;0
10.188;750;0
10.205;752;0
10.216;754;0
10.196;756;0
9.002;758;0
8.669;760;0
8.673;762;0
8.668;764;0
8.662;766;0
10.63;768;0
10.328;770;0
10.284;772;0
10.356;774;0
10.157;776;0
8.698;778;0
8.666;780;0
8.663;782;0
8.754;784;0
10.912;786;0
10.324;788;0
10.211;790;0
10.167;792;0
10.194;794;0
9.795;796;0
8.671;798;0
8.66;800;0
8.666;802;0
8.66;804;0
9.157;806;0
11.007;808;0
10.228;810;0
10.339;812;0
10.194;814;0
8.718;816;0
8.653;818;0
8.653;820;0
8.727;822;0
10.817;824;0
10.264;826;0
10.176;828;0
10.221;830;0
10.224;832;0
9.784;834;0
8.667;836;0
8.668;838;0
8.652;840;0
8.652;842;0
9.213;844;0
11.074;846;0
10.321;848;0
10.247;850;0
10.256;852;0
9.444;854;0
8.658;856;0
8.654;858;0
8.66;860;0
9.947;862;0
10.503;864;0
10.23;866;0
10.224;868;0
10.183;870;0
10.23;872;0
8.98;874;0
8.661;876;0
8.662;878;0
8.652;880;0
8.665;882;0
10.69;884;0
10.307;886;0
10.136;888;0
10.322;890;0
10.104;892;0
8.702;894;0
8.653;896;0
8.651;898;0
8.719;900;0
10.864;902;0
10.149;904;0
10.144;906;0
10.189;908;0
10.114;910;0
9.758;912;0
8.658;914;0
8.646;916;0
8.657;918;0
8.652;920;0
9.095;922;0
10.96;924;0
10.244;926;0
10.296;928;0
10.255;930;0
9.433;932;0
8.661;934;0
8.667;936;0
8.66;938;0
9.747;940;0
10.668;942;0
10.123;944;0
10.192;946;0
10.264;948;0
10.281;950;0
8.933;952;0
8.667;954;0
8.663;956;0
8.667;958;0
8.666;960;0
10.807;962;0
10.302;964;0
10.215;966;0
10.263;968;0
10.106;970;0
8.716;972;0
8.667;974;0
8.674;976;0
8.743;978;0
10.951;980;0
10.221;982;0
10.219;984;0
10.225;986;0
10.216;988;0
9.743;990;0
8.682;992;0
8.674;994;0
8.667;996;0
8.662;998;0
9.121;1000;0
11.092;1002;0
10.224;1004;0
10.289;1006;0
10.302;1008;0
9.412;1010;0
8.67;1012;0
8.669;1014;0
8.703;1016;0
10.754;1018;0
10.27;1020;0
10.216;1022;0
10.267;1024;0
10.225;1026;0
10.236;1028;0
10.245;1030;0
9.92;1032;0
8.682;1034;0
8.687;1036;0
8.68;1038;0
8.673;1040;0
10.55;1042;0
10.479;1044;0
10.281;1046;0
10.357;1048;0
10.329;1050;0
10.304;1052;0
9.534;1054;0
8.678;1056;0
8.707;1058;0
8.727;1060;0
10.798;1062;0
10.461;1064;0
10.275;1066;0
10.289;1068;0
10.28;1070;0
10.256;1072;0
10.216;1074;0
9.829;1076;0
8.684;1078;0
8.698;1080;0
8.689;1082;0
8.666;1084;0
10.488;1086;0
10.628;1088;0
10.338;1090;0
10.321;1092;0
10.318;1094;0
10.338;1096;0
9.508;1098;0
8.687;1100;0
8.687;1102;0
8.724;1104;0
10.798;1106;0
10.362;1108;0
10.264;1110;0
10.289;1112;0
10.247;1114;0
10.248;1116;0
10.257;1118;0
9.104;1120;0
8.68;1122;0
8.684;1124;0
8.689;1126;0
9.098;1128;0
11.12;1130;0
10.29;1132;0
10.277;1134;0
10.27;1136;0
10.288;1138;0
10.239;1140;0
8.751;1142;0
8.696;1144;0
8.698;1146;0
9.692;1148;0
10.82;1150;0
10.204;1152;0
10.252;1154;0
10.225;1156;0
10.258;1158;0
10.286;1160;0
10.303;1162;0
9.04;1164;0
8.698;1166;0
8.69;1168;0
8.694;1170;0
9.11;1172;0
11.175;1174;0
10.346;1176;0
10.271;1178;0
10.324;1180;0
10.291;1182;0
10.173;1184;0
8.732;1186;0
8.7;1188;0
8.703;1190;0
10.023;1192;0
10.606;1194;0
