current;delta;status
1.583;0;0
1.571;2;0
1.583;4;0
1.611;6;0
1.601;8;0
1.621;10;0
1.636;12;0
1.652;14;0
1.669;16;0
1.662;18;0
1.731;20;0
1.794;22;0
1.797;24;0
1.812;26;0
1.787;28;0
1.801;30;0
1.882;32;0
1.83;34;0
1.866;36;0
1.872;38;0
1.832;40;0
1.91;42;0
1.956;44;0
1.944;46;0
1.963;48;0
2.013;50;0
2.15;52;0
2.097;54;0
2.199;56;0
2.269;58;0
2.297;60;0
2.366;62;0
2.317;64;0
2.288;66;0
2.337;68;0
2.442;70;0
2.511;72;0
2.422;74;0
0.672;76;0
0.046;78;0
0.046;80;0
0.046;82;0
0.046;84;0
0.045;86;0
0.046;88;0
0.046;90;0
0.046;92;0
0.231;94;0
3.118;96;0
2.576;98;0
2.443;100;0
2.688;102;0
2.634;104;0
2.644;106;0
2.979;108;0
2.81;110;0
2.663;112;0
2.847;114;0
2.902;116;0
2.697;118;0
2.76;120;0
2.904;122;0
2.881;124;0
3.023;126;0
3.129;128;0
3.039;130;0
3.014;132;0
3.284;134;0
3.221;136;0
3.283;138;0
3.26;140;0
3.453;142;0
1.742;144;0
0.046;146;0
0.046;148;0
0.045;150;0
0.046;152;0
0.045;154;0
0.046;156;0
0.045;158;0
0.045;160;0
0.045;162;0
3.923;164;0
3.321;166;0
3.543;168;0
3.258;170;0
3.066;172;0
3.576;174;0
3.299;176;0
3.519;178;0
3.311;180;0
3.625;182;0
3.611;184;0
3.539;186;0
3.763;188;0
3.593;190;0
3.761;192;0
3.956;194;0
3.845;196;0
3.86;198;0
3.863;200;0
3.886;202;0
3.938;204;0
4.094;206;0
4.084;208;0
4.397;210;0
9.033;212;0
11.029;214;0
10.304;216;0
10.277;218;0
10.252;220;0
10.299;222;0
9.929;224;0
8.794;226;0
8.8;228;0
8.802;230;0
8.792;232;0
8.797;234;0
8.786;236;0
10.464;238;0
10.671;240;0
10.594;242;0
10.673;244;0
10.672;246;0
10.289;248;0
8.831;250;0
8.8;252;0
8.791;254;0
8.786;256;0
8.795;258;0
