current;delta;status
0.034;0;0
0.035;2;0
0.035;4;0
0.035;6;0
0.035;8;0
0.035;10;0
0.035;12;0
0.035;14;0
0.035;16;0
0.035;18;0
0.035;20;0
0.035;22;0
0.035;24;0
0.035;26;0
0.035;28;0
0.035;30;0
0.035;32;0
0.035;34;0
0.035;36;0
0.035;38;0
0.035;40;0
0.035;42;0
0.035;44;0
0.073;46;0
0.044;48;0
0.045;50;0
0.045;52;0
0.045;54;0
0.045;56;0
0.045;58;0
0.045;60;0
0.045;62;0
0.045;64;0
0.045;66;0
0.045;68;0
0.045;70;0
0.045;72;0
0.045;74;0
0.135;76;0
0.046;78;0
2.279;80;0
2.32;82;0
2.376;84;0
2.291;86;0
2.247;88;0
2.309;90;0
2.375;92;0
2.39;94;0
2.363;96;0
2.374;98;0
2.417;100;0
2.476;102;0
2.541;104;0
2.475;106;0
2.322;108;0
2.398;110;0
2.491;112;0
2.554;114;0
2.609;116;0
2.611;118;0
2.636;120;0
2.559;122;0
2.51;124;0
2.441;126;0
7.515;128;0
9.605;130;0
9.595;132;0
9.532;134;0
9.462;136;0
9.452;138;0
9.403;140;0
8.778;142;0
8.735;144;0
8.731;146;0
8.726;148;0
8.722;150;0
8.722;152;0
9.319;154;0
9.498;156;0
9.444;158;0
9.419;160;0
9.408;162;0
9.346;164;0
8.878;166;0
8.709;168;0
8.711;170;0
8.693;172;0
8.711;174;0
8.711;176;0
9.158;178;0
9.52;180;0
9.399;182;0
9.404;184;0
9.41;186;0
9.419;188;0
8.998;190;0
8.714;192;0
8.715;194;0
8.718;196;0
8.707;198;0
8.702;200;0
8.903;202;0
9.395;204;0
9.362;206;0
9.362;208;0
9.375;210;0
9.367;212;0
8.822;214;0
8.722;216;0
8.697;218;0
8.709;220;0
8.707;222;0
8.712;224;0
9.174;226;0
9.479;228;0
9.362;230;0
9.373;232;0
9.354;234;0
9.361;236;0
8.984;238;0
8.722;240;0
8.717;242;0
8.714;244;0
9.586;246;0
9.375;248;0
9.346;250;0
9.352;252;0
9.352;254;0
9.298;256;0
8.746;258;0
8.721;260;0
8.71;262;0
8.718;264;0
8.844;266;0
9.651;268;0
4.427;270;0
2.083;272;0
2.118;274;0
1.749;276;0
0.07;278;0
0.046;280;0
0.046;282;0
1.55;284;0
2.373;286;0
2.042;288;0
2.036;290;0
2.06;292;0
2.014;294;0
1.318;296;0
0.046;298;0
0.046;300;0
0.045;302;0
0.046;304;0
2.223;306;0
2.169;308;0
2.049;310;0
2.015;312;0
2.048;314;0
0.903;316;0
0.046;318;0
0.046;320;0
0.045;322;0
2.403;324;0
1.972;326;0
2.034;328;0
2.027;330;0
1.97;332;0
1.971;334;0
0.387;336;0
0.045;338;0
0.045;340;0
0.046;342;0
0.635;344;0
2.473;346;0
1.977;348;0
1.97;350;0
1.937;352;0
1.752;354;0
0.113;356;0
0.045;358;0
0.045;360;0
1.555;362;0
2.227;364;0
1.882;366;0
1.905;368;0
1.943;370;0
1.939;372;0
1.353;374;0
0.046;376;0
0.045;378;0
0.046;380;0
0.045;382;0
2.311;384;0
1.976;386;0
1.926;388;0
1.945;390;0
1.936;392;0
0.779;394;0
0.045;396;0
0.045;398;0
0.097;400;0
2.339;402;0
1.928;404;0
1.923;406;0
1.94;408;0
1.877;410;0
1.265;412;0
0.045;414;0
0.045;416;0
0.046;418;0
0.046;420;0
2.113;422;0
2.017;424;0
1.9;426;0
1.874;428;0
1.891;430;0
0.867;432;0
0.046;434;0
0.046;436;0
0.045;438;0
2.283;440;0
1.878;442;0
1.907;444;0
1.838;446;0
1.846;448;0
1.882;450;0
0.388;452;0
0.046;454;0
0.045;456;0
0.046;458;0
0.643;460;0
2.387;462;0
1.926;464;0
1.907;466;0
1.83;468;0
1.608;470;0
0.119;472;0
0.051;474;0
0.045;476;0
1.515;478;0
2.215;480;0
1.869;482;0
1.9;484;0
1.949;486;0
1.898;488;0
1.371;490;0
0.045;492;0
0.046;494;0
0.046;496;0
0.046;498;0
2.179;500;0
2.022;502;0
1.945;504;0
1.912;506;0
1.847;508;0
1.11;510;0
0.045;512;0
0.046;514;0
0.046;516;0
2.2;518;0
1.846;520;0
1.926;522;0
1.877;524;0
1.811;526;0
1.853;528;0
0.452;530;0
0.046;532;0
0.046;534;0
0.045;536;0
0.421;538;0
2.448;540;0
1.878;542;0
1.843;544;0
1.871;546;0
1.664;548;0
0.168;550;0
0.046;552;0
0.046;554;0
1.29;556;0
2.254;558;0
1.855;560;0
1.781;562;0
1.809;564;0
1.841;566;0
1.371;568;0
0.046;570;0
0.045;572;0
0.046;574;0
0.046;576;0
1.915;578;0
2.019;580;0
1.856;582;0
1.814;584;0
1.76;586;0
1.019;588;0
0.062;590;0
0.057;592;0
0.046;594;0
2.313;596;0
1.794;598;0
1.88;600;0
1.946;602;0
1.84;604;0
1.799;606;0
0.047;608;0
0.046;610;0
0.046;612;0
0.046;614;0
2.028;616;0
2.078;618;0
1.895;620;0
1.899;622;0
1.835;624;0
1.11;626;0
0.045;628;0
0.046;630;0
0.045;632;0
2.113;634;0
1.93;636;0
1.853;638;0
1.783;640;0
1.856;642;0
1.873;644;0
0.658;646;0
0.046;648;0
0.046;650;0
0.045;652;0
0.26;654;0
2.371;656;0
1.785;658;0
1.79;660;0
1.829;662;0
1.665;664;0
0.215;666;0
0.045;668;0
0.046;670;0
1.085;672;0
2.352;674;0
1.758;676;0
1.84;678;0
1.815;680;0
1.736;682;0
1.444;684;0
0.051;686;0
0.045;688;0
0.045;690;0
0.045;692;0
1.884;694;0
2.124;696;0
1.81;698;0
1.759;700;0
1.798;702;0
1.217;704;0
0.062;706;0
0.063;708;0
0.048;710;0
2.017;712;0
1.899;714;0
1.85;716;0
1.77;718;0
1.815;720;0
1.865;722;0
0.634;724;0
0.045;726;0
0.045;728;0
0.046;730;0
0.157;732;0
2.472;734;0
1.848;736;0
1.862;738;0
1.818;740;0
1.737;742;0
0.27;744;0
0.045;746;0
0.046;748;0
0.749;750;0
2.508;752;0
1.782;754;0
1.776;756;0
1.842;758;0
1.825;760;0
1.558;762;0
0.077;764;0
0.045;766;0
0.045;768;0
0.046;770;0
1.606;772;0
2.129;774;0
1.774;776;0
1.814;778;0
1.776;780;0
1.192;782;0
0.046;784;0
0.046;786;0
0.046;788;0
2.111;790;0
1.838;792;0
1.823;794;0
1.773;796;0
1.715;798;0
1.805;800;0
0.865;802;0
0.046;804;0
0.046;806;0
0.046;808;0
1.547;810;0
2.318;812;0
1.712;814;0
1.782;816;0
1.803;818;0
1.333;820;0
0.046;822;0
0.046;824;0
0.045;826;0
1.739;828;0
2.034;830;0
1.747;832;0
1.706;834;0
1.805;836;0
1.768;838;0
1.676;840;0
1.76;842;0
0.796;844;0
0.046;846;0
0.046;848;0
0.046;850;0
1.629;852;0
2.243;854;0
1.677;856;0
1.732;858;0
1.78;860;0
1.685;862;0
1.619;864;0
0.265;866;0
0.046;868;0
0.045;870;0
2.288;872;0
1.747;874;0
1.818;876;0
1.782;878;0
1.657;880;0
1.759;882;0
1.803;884;0
1.704;886;0
0.92;888;0
0.046;890;0
0.045;892;0
0.046;894;0
1.745;896;0
1.958;898;0
1.721;900;0
1.744;902;0
1.657;904;0
1.658;906;0
1.692;908;0
0.224;910;0
0.046;912;0
0.046;914;0
2.004;916;0
1.821;918;0
1.692;920;0
1.662;922;0
1.743;924;0
1.732;926;0
1.643;928;0
1.711;930;0
0.487;932;0
0.046;934;0
0.046;936;0
0.046;938;0
1.941;940;0
2.032;942;0
1.728;944;0
1.635;946;0
1.678;948;0
1.726;950;0
1.48;952;0
0.155;954;0
0.046;956;0
0.046;958;0
2.303;960;0
1.648;962;0
1.733;964;0
1.779;966;0
1.672;968;0
1.67;970;0
1.772;972;0
1.72;974;0
0.612;976;0
0.045;978;0
0.046;980;0
0.046;982;0
1.768;984;0
1.944;986;0
1.627;988;0
1.694;990;0
1.695;992;0
1.615;994;0
1.458;996;0
0.088;998;0
0.045;1000;0
0.045;1002;0
2.251;1004;0
1.73;1006;0
1.719;1008;0
1.628;1010;0
1.74;1012;0
1.625;1014;0
1.697;1016;0
0.404;1018;0
0.045;1020;0
0.045;1022;0
0.045;1024;0
2.235;1026;0
1.767;1028;0
1.724;1030;0
1.669;1032;0
1.594;1034;0
1.652;1036;0
1.475;1038;0
0.129;1040;0
0.045;1042;0
0.046;1044;0
2.273;1046;0
1.617;1048;0
1.726;1050;0
1.76;1052;0
1.65;1054;0
1.648;1056;0
1.755;1058;0
1.685;1060;0
0.495;1062;0
0.046;1064;0
0.045;1066;0
0.046;1068;0
1.876;1070;0
1.947;1072;0
1.691;1074;0
1.587;1076;0
1.667;1078;0
1.695;1080;0
1.407;1082;0
0.102;1084;0
0.046;1086;0
0.046;1088;0
2.415;1090;0
1.667;1092;0
1.649;1094;0
1.764;1096;0
1.719;1098;0
1.614;1100;0
1.718;1102;0
1.749;1104;0
0.413;1106;0
0.046;1108;0
0.045;1110;0
0.045;1112;0
1.939;1114;0
1.85;1116;0
1.532;1118;0
0.274;1120;0
0.193;1122;0
0.193;1124;0
1.398;1126;0
2.291;1128;0
2.093;1130;0
2.09;1132;0
1.883;1134;0
1.907;1136;0
1.773;1138;0
1.772;1140;0
1.799;1142;0
1.761;1144;0
1.797;1146;0
1.246;1148;0
0.183;1150;0
2.36;1152;0
1.916;1154;0
2.088;1156;0
1.997;1158;0
1.86;1160;0
1.825;1162;0
1.753;1164;0
1.788;1166;0
1.75;1168;0
1.795;1170;0
1.767;1172;0
0.589;1174;0
0.658;1176;0
2.473;1178;0
2.016;1180;0
2.088;1182;0
1.876;1184;0
1.885;1186;0
1.772;1188;0
1.772;1190;0
1.754;1192;0
1.792;1194;0
1.751;1196;0
1.44;1198;0
0.192;1200;0
2.18;1202;0
1.919;1204;0
2.049;1206;0
2.059;1208;0
1.825;1210;0
1.847;1212;0
1.771;1214;0
1.775;1216;0
1.757;1218;0
1.796;1220;0
1.561;1222;0
0.239;1224;0
2.056;1226;0
1.941;1228;0
2.022;1230;0
2.05;1232;0
1.834;1234;0
1.85;1236;0
1.779;1238;0
1.752;1240;0
1.773;1242;0
1.777;1244;0
1.753;1246;0
1.062;1248;0
0.183;1250;0
2.394;1252;0
2.083;1254;0
2.014;1256;0
1.903;1258;0
1.901;1260;0
1.763;1262;0
1.781;1264;0
1.767;1266;0
1.755;1268;0
1.789;1270;0
1.903;1272;0
2.789;1274;0
2.996;1276;0
2.604;1278;0
1.842;1280;0
1.91;1282;0
1.853;1284;0
