current;delta;status
2.213;0;0
2.257;2;0
2.514;4;0
2.324;6;0
2.33;8;0
2.42;10;0
0.545;12;0
0.045;14;0
0.046;16;0
0.045;18;0
0.045;20;0
0.045;22;0
0.046;24;0
0.046;26;0
0.045;28;0
0.046;30;0
2.643;32;0
2.699;34;0
2.5;36;0
2.399;38;0
2.437;40;0
2.563;42;0
2.452;44;0
2.357;46;0
2.542;48;0
2.599;50;0
2.717;52;0
2.539;54;0
2.565;56;0
2.453;58;0
2.803;60;0
2.761;62;0
2.795;64;0
2.651;66;0
2.68;68;0
2.957;70;0
3.055;72;0
3.004;74;0
2.918;76;0
3.126;78;0
2.335;80;0
0.045;82;0
0.046;84;0
0.046;86;0
0.045;88;0
0.045;90;0
0.046;92;0
0.046;94;0
0.046;96;0
0.045;98;0
2.413;100;0
3.906;102;0
2.995;104;0
3.313;106;0
3.455;108;0
3.136;110;0
3.536;112;0
3.393;114;0
3.366;116;0
3.381;118;0
3.404;120;0
3.239;122;0
3.547;124;0
3.666;126;0
3.558;128;0
3.629;130;0
3.442;132;0
3.764;134;0
3.844;136;0
3.658;138;0
3.76;140;0
3.783;142;0
3.745;144;0
3.865;146;0
5.555;148;0
9.234;150;0
10.783;152;0
10.108;154;0
10.098;156;0
10.021;158;0
9.971;160;0
9.31;162;0
8.782;164;0
8.783;166;0
8.787;168;0
8.792;170;0
8.787;172;0
8.907;174;0
10.718;176;0
10.318;178;0
10.48;180;0
10.486;182;0
10.374;184;0
9.989;186;0
8.784;188;0
8.78;190;0
8.762;192;0
8.767;194;0
8.776;196;0
8.792;198;0
10.858;200;0
10.063;202;0
10.034;204;0
10.066;206;0
10.077;208;0
9.243;210;0
8.79;212;0
8.791;214;0
8.782;216;0
8.765;218;0
8.767;220;0
8.967;222;0
10.793;224;0
10.402;226;0
10.416;228;0
10.565;230;0
10.318;232;0
9.683;234;0
8.785;236;0
8.783;238;0
8.776;240;0
8.786;242;0
8.77;244;0
8.829;246;0
10.9;248;0
10.066;250;0
10.085;252;0
10.037;254;0
10.141;256;0
9.779;258;0
8.784;260;0
8.779;262;0
8.778;264;0
9.653;266;0
10.177;268;0
10.142;270;0
10.027;272;0
10.072;274;0
9.856;276;0
8.81;278;0
8.786;280;0
8.776;282;0
8.78;284;0
8.974;286;0
10.953;288;0
10.253;290;0
10.17;292;0
10.206;294;0
9.629;296;0
8.791;298;0
8.79;300;0
8.782;302;0
9.421;304;0
10.765;306;0
10.157;308;0
10.146;310;0
10.12;312;0
10.164;314;0
9.264;316;0
8.8;318;0
8.772;320;0
8.779;322;0
8.889;324;0
10.827;326;0
10.24;328;0
10.121;330;0
10.137;332;0
9.821;334;0
8.789;336;0
8.785;338;0
8.784;340;0
9.227;342;0
10.911;344;0
10.071;346;0
10.139;348;0
10.103;350;0
10.06;352;0
8.833;354;0
8.785;356;0
8.789;358;0
8.786;360;0
8.845;362;0
10.854;364;0
10.262;366;0
10.15;368;0
10.213;370;0
9.841;372;0
8.816;374;0
8.787;376;0
8.786;378;0
9.062;380;0
10.926;382;0
10.125;384;0
10.129;386;0
10.115;388;0
10.205;390;0
9.602;392;0
8.805;394;0
8.784;396;0
8.793;398;0
8.801;400;0
9.717;402;0
10.722;404;0
10.235;406;0
10.138;408;0
10.097;410;0
9.213;412;0
8.773;414;0
8.784;416;0
8.794;418;0
10.367;420;0
10.156;422;0
10.12;424;0
10.11;426;0
10.114;428;0
10.156;430;0
8.874;432;0
8.785;434;0
8.793;436;0
8.792;438;0
8.802;440;0
10.807;442;0
10.321;444;0
10.179;446;0
10.159;448;0
9.969;450;0
8.78;452;0
8.781;454;0
8.775;456;0
8.92;458;0
10.869;460;0
10.162;462;0
10.096;464;0
10.215;466;0
10.122;468;0
9.642;470;0
8.779;472;0
8.778;474;0
8.785;476;0
8.787;478;0
9.471;480;0
10.816;482;0
10.176;484;0
10.179;486;0
10.131;488;0
9.276;490;0
8.774;492;0
8.779;494;0
8.783;496;0
10.213;498;0
10.168;500;0
10.124;502;0
10.122;504;0
10.07;506;0
10.059;508;0
8.959;510;0
8.768;512;0
8.781;514;0
8.794;516;0
8.802;518;0
10.86;520;0
10.185;522;0
10.071;524;0
10.055;526;0
9.908;528;0
8.784;530;0
8.778;532;0
8.776;534;0
8.966;536;0
10.869;538;0
10.051;540;0
10.065;542;0
10.094;544;0
10.105;546;0
9.509;548;0
8.759;550;0
8.777;552;0
8.786;554;0
8.779;556;0
10.701;558;0
10.127;560;0
10.157;562;0
10.164;564;0
10.097;566;0
8.799;568;0
8.758;570;0
8.771;572;0
8.878;574;0
10.942;576;0
10.185;578;0
10.164;580;0
10.048;582;0
10.155;584;0
9.674;586;0
8.763;588;0
8.776;590;0
8.769;592;0
8.765;594;0
9.334;596;0
10.87;598;0
10.165;600;0
10.179;602;0
10.149;604;0
9.399;606;0
8.763;608;0
8.766;610;0
8.763;612;0
10.057;614;0
10.291;616;0
10.093;618;0
10.119;620;0
10.077;622;0
10.074;624;0
9.048;626;0
8.766;628;0
8.774;630;0
8.771;632;0
8.786;634;0
10.54;636;0
10.293;638;0
10.165;640;0
10.204;642;0
10.088;644;0
8.796;646;0
8.754;648;0
8.772;650;0
8.821;652;0
10.715;654;0
10.15;656;0
10.07;658;0
10.1;660;0
10.133;662;0
9.691;664;0
8.775;666;0
8.771;668;0
8.769;670;0
8.772;672;0
9.203;674;0
10.853;676;0
10.201;678;0
10.141;680;0
10.096;682;0
9.475;684;0
8.767;686;0
8.755;688;0
8.762;690;0
9.842;692;0
10.551;694;0
