current;delta;status
0.045;0;0
0.045;2;0
0.045;4;0
0.045;6;0
0.045;8;0
0.045;10;0
0.045;12;0
0.045;14;0
0.148;16;0
0.046;18;0
0.918;20;0
2.012;22;0
1.716;24;0
1.73;26;0
1.702;28;0
1.685;30;0
1.691;32;0
1.701;34;0
1.717;36;0
1.714;38;0
1.706;40;0
1.702;42;0
1.712;44;0
1.724;46;0
1.752;48;0
1.758;50;0
1.772;52;0
1.789;54;0
1.797;56;0
1.807;58;0
1.832;60;0
1.863;62;0
1.875;64;0
1.87;66;0
1.862;68;0
1.881;70;0
1.91;72;0
1.838;74;0
1.814;76;0
1.851;78;0
1.894;80;0
1.925;82;0
1.965;84;0
1.924;86;0
1.988;88;0
2.026;90;0
2.087;92;0
2.138;94;0
2.066;96;0
2.141;98;0
2.161;100;0
2.261;102;0
2.279;104;0
2.237;106;0
2.286;108;0
0.887;110;0
0.046;112;0
0.045;114;0
0.045;116;0
0.046;118;0
0.045;120;0
0.046;122;0
0.045;124;0
0.045;126;0
0.36;128;0
2.882;130;0
2.307;132;0
2.32;134;0
2.359;136;0
2.368;138;0
2.485;140;0
2.433;142;0
2.398;144;0
2.536;146;0
2.487;148;0
2.434;150;0
2.386;152;0
2.435;154;0
2.481;156;0
2.475;158;0
2.525;160;0
2.566;162;0
2.572;164;0
2.578;166;0
2.497;168;0
2.624;170;0
2.758;172;0
2.811;174;0
2.837;176;0
1.176;178;0
0.046;180;0
0.046;182;0
0.046;184;0
0.045;186;0
0.046;188;0
0.046;190;0
0.046;192;0
0.046;194;0
0.398;196;0
3.592;198;0
2.705;200;0
2.946;202;0
2.836;204;0
3.003;206;0
3.196;208;0
3.061;210;0
3.173;212;0
3.243;214;0
3.14;216;0
3.155;218;0
3.169;220;0
3.407;222;0
3.422;224;0
3.242;226;0
3.168;228;0
3.42;230;0
3.255;232;0
3.316;234;0
3.533;236;0
3.357;238;0
3.666;240;0
3.333;242;0
3.584;244;0
7.89;246;0
10.08;248;0
9.916;250;0
9.946;252;0
9.916;254;0
9.902;256;0
9.874;258;0
8.855;260;0
8.81;262;0
8.806;264;0
8.8;266;0
8.797;268;0
8.795;270;0
9.652;272;0
10.233;274;0
10.095;276;0
10.079;278;0
10.154;280;0
10.137;282;0
9.081;284;0
8.803;286;0
8.813;288;0
8.795;290;0
8.801;292;0
8.804;294;0
9.355;296;0
10.566;298;0
9.904;300;0
9.813;302;0
9.81;304;0
9.86;306;0
9.354;308;0
8.809;310;0
8.8;312;0
8.8;314;0
8.795;316;0
8.8;318;0
8.952;320;0
10.436;322;0
10.043;324;0
10.137;326;0
10.044;328;0
10.182;330;0
9.593;332;0
8.781;334;0
8.803;336;0
8.801;338;0
8.803;340;0
8.792;342;0
9.408;344;0
10.483;346;0
9.786;348;0
9.952;350;0
9.874;352;0
9.902;354;0
9.29;356;0
8.801;358;0
8.794;360;0
9.409;362;0
10.426;364;0
9.959;366;0
9.82;368;0
9.887;370;0
9.819;372;0
9.235;374;0
8.813;376;0
8.806;378;0
8.805;380;0
8.804;382;0
10.046;384;0
9.998;386;0
9.953;388;0
9.945;390;0
9.835;392;0
8.953;394;0
8.806;396;0
8.811;398;0
8.821;400;0
10.215;402;0
9.997;404;0
9.822;406;0
9.899;408;0
9.793;410;0
9.752;412;0
8.813;414;0
8.801;416;0
8.813;418;0
8.801;420;0
8.943;422;0
10.568;424;0
9.941;426;0
9.942;428;0
9.877;430;0
9.523;432;0
8.8;434;0
8.803;436;0
8.799;438;0
9.293;440;0
10.385;442;0
9.993;444;0
9.831;446;0
9.876;448;0
9.878;450;0
9.262;452;0
8.803;454;0
8.794;456;0
8.782;458;0
8.795;460;0
9.955;462;0
10.054;464;0
9.966;466;0
9.836;468;0
9.85;470;0
9.038;472;0
8.789;474;0
8.805;476;0
8.801;478;0
10.3;480;0
9.847;482;0
9.952;484;0
9.836;486;0
9.919;488;0
9.756;490;0
8.814;492;0
8.795;494;0
8.799;496;0
8.782;498;0
8.923;500;0
10.562;502;0
9.897;504;0
9.934;506;0
9.856;508;0
9.495;510;0
8.8;512;0
8.796;514;0
8.788;516;0
9.288;518;0
10.407;520;0
9.805;522;0
9.89;524;0
9.833;526;0
9.784;528;0
9.301;530;0
8.781;532;0
8.79;534;0
8.778;536;0
8.794;538;0
10.005;540;0
10.007;542;0
9.878;544;0
9.889;546;0
9.846;548;0
8.955;550;0
8.783;552;0
8.786;554;0
8.777;556;0
10.365;558;0
9.89;560;0
9.812;562;0
9.865;564;0
9.863;566;0
9.269;568;0
8.785;570;0
8.781;572;0
8.783;574;0
8.78;576;0
10.057;578;0
9.988;580;0
9.882;582;0
9.852;584;0
9.863;586;0
9.108;588;0
8.834;590;0
8.807;592;0
8.784;594;0
10.235;596;0
10.054;598;0
9.936;600;0
9.945;602;0
9.936;604;0
9.825;606;0
8.816;608;0
8.796;610;0
8.801;612;0
8.799;614;0
8.923;616;0
10.572;618;0
9.939;620;0
9.93;622;0
9.888;624;0
9.523;626;0
8.795;628;0
8.793;630;0
8.792;632;0
9.317;634;0
10.412;636;0
9.969;638;0
9.989;640;0
10.015;642;0
10.055;644;0
9.298;646;0
8.802;648;0
8.795;650;0
8.796;652;0
8.786;654;0
10.119;656;0
10.166;658;0
10.019;660;0
9.899;662;0
9.955;664;0
8.972;666;0
8.791;668;0
8.78;670;0
8.789;672;0
10.339;674;0
10.008;676;0
9.862;678;0
9.943;680;0
9.883;682;0
9.855;684;0
8.822;686;0
8.805;688;0
8.799;690;0
8.792;692;0
8.886;694;0
10.639;696;0
9.87;698;0
9.933;700;0
9.859;702;0
9.549;704;0
8.805;706;0
8.798;708;0
8.793;710;0
9.209;712;0
10.521;714;0
9.927;716;0
9.882;718;0
10.011;720;0
9.911;722;0
9.399;724;0
8.801;726;0
8.821;728;0
8.802;730;0
8.79;732;0
9.832;734;0
10.215;736;0
9.95;738;0
9.899;740;0
9.938;742;0
9.056;744;0
8.79;746;0
8.79;748;0
8.796;750;0
10.288;752;0
9.948;754;0
9.927;756;0
9.884;758;0
9.921;760;0
9.416;762;0
8.791;764;0
8.794;766;0
8.802;768;0
8.785;770;0
10.069;772;0
10.099;774;0
9.907;776;0
9.892;778;0
9.981;780;0
9.03;782;0
8.789;784;0
8.793;786;0
8.788;788;0
10.273;790;0
9.95;792;0
9.912;794;0
9.864;796;0
9.954;798;0
9.898;800;0
8.859;802;0
8.808;804;0
8.809;806;0
8.811;808;0
8.879;810;0
10.688;812;0
10.065;814;0
9.915;816;0
9.913;818;0
9.682;820;0
8.824;822;0
8.821;824;0
8.818;826;0
9.205;828;0
10.515;830;0
9.935;832;0
9.96;834;0
9.9;836;0
10.057;838;0
9.388;840;0
8.813;842;0
8.809;844;0
8.796;846;0
8.791;848;0
9.954;850;0
10.209;852;0
9.989;854;0
9.919;856;0
9.915;858;0
9.078;860;0
8.805;862;0
8.79;864;0
8.803;866;0
10.199;868;0
9.983;870;0
9.92;872;0
9.919;874;0
9.971;876;0
9.867;878;0
8.855;880;0
8.803;882;0
8.804;884;0
8.794;886;0
8.834;888;0
10.672;890;0
9.941;892;0
9.875;894;0
9.89;896;0
9.638;898;0
8.797;900;0
8.794;902;0
8.78;904;0
9.051;906;0
10.511;908;0
9.905;910;0
9.942;912;0
9.904;914;0
9.947;916;0
9.417;918;0
7.804;920;0
0.046;922;0
0.046;924;0
0.046;926;0
3.04;928;0
4.064;930;0
3.304;932;0
3.313;934;0
3.141;936;0
1.903;938;0
0.046;940;0
0.046;942;0
0.046;944;0
3.817;946;0
3.501;948;0
3.174;950;0
3.326;952;0
3.267;954;0
3.243;956;0
3.32;958;0
3.141;960;0
0.893;962;0
0.046;964;0
0.046;966;0
0.325;968;0
4.441;970;0
3.278;972;0
3.076;974;0
3.281;976;0
3.284;978;0
3.214;980;0
1.602;982;0
0.046;984;0
0.046;986;0
1.09;988;0
4.4;990;0
3.138;992;0
3.238;994;0
3.282;996;0
3.318;998;0
3.244;1000;0
3.171;1002;0
2.423;1004;0
0.047;1006;0
0.046;1008;0
0.046;1010;0
0.364;1012;0
4.603;1014;0
3.192;1016;0
3.247;1018;0
3.323;1020;0
